sample,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
42,0.092316784,0.105945796,0.09673369,0.10236609,0.09961443,0.10289361,0.09270356,0.103894316,0.108502604,0.09502912
43,0.09418105,0.103700384,0.09078265,0.10199669,0.10793325,0.10659125,0.088791884,0.099378414,0.109987825,0.09665662
44,0.095013544,0.10256311,0.0907172,0.105532415,0.105105236,0.10379867,0.08761142,0.104840964,0.110402405,0.0944151
45,0.09743004,0.10458781,0.0905914,0.09867885,0.10563283,0.10390484,0.089224435,0.10515727,0.11055189,0.09424068
46,0.09389807,0.1009675,0.093683325,0.10381201,0.10203396,0.10372702,0.0888562,0.1061784,0.111388534,0.09545493
47,0.09573685,0.101504885,0.09284155,0.10732754,0.10056275,0.10509125,0.08921895,0.100994654,0.10945755,0.097263984
48,0.09296179,0.10869587,0.090653375,0.10344925,0.106925,0.10438845,0.08671923,0.09881932,0.11282348,0.09456421
49,0.09599996,0.10484971,0.08917278,0.10379098,0.105532125,0.10625879,0.08872227,0.101799734,0.109717794,0.09415586
50,0.09749767,0.10261553,0.0911779,0.10549171,0.103744835,0.10349565,0.08885357,0.100394465,0.11069162,0.09603697
51,0.09529231,0.105884254,0.0906756,0.10371689,0.10500578,0.104730085,0.089218,0.10131535,0.10878084,0.095380895
52,0.101607144,0.09871828,0.09182911,0.101235986,0.10660369,0.10367583,0.08622239,0.10154144,0.11110427,0.09746186
53,0.092878506,0.101724975,0.09006785,0.10362802,0.10716265,0.10307178,0.09087803,0.10245772,0.11217898,0.09595153
54,0.09171643,0.107734084,0.09281861,0.10423131,0.103599295,0.10220799,0.09050678,0.10137213,0.10971903,0.09609428
55,0.0929356,0.101049155,0.09158033,0.103164166,0.10775732,0.105555944,0.088990584,0.10365674,0.10982177,0.09548841
56,0.09537774,0.10311309,0.092758305,0.1080913,0.1024999,0.100554176,0.08995135,0.10220838,0.11102328,0.09442245
57,0.096604295,0.104154535,0.090016745,0.10162413,0.10234576,0.105884,0.08942096,0.10340497,0.11109697,0.09544763
58,0.09485912,0.10572768,0.09150709,0.10176668,0.10573687,0.102989964,0.091597214,0.100796945,0.111032635,0.09398573
59,0.09685937,0.10328989,0.08890907,0.09985807,0.10416301,0.106051125,0.091469385,0.10181178,0.110763185,0.096825175
60,0.09433059,0.10235809,0.09202445,0.10594923,0.109701574,0.10611311,0.086945616,0.09888583,0.10936871,0.09432281
61,0.0947411,0.1040891,0.091651045,0.10205574,0.10518122,0.10337674,0.09146072,0.101694845,0.10948223,0.09626724
62,0.0882747,0.109162495,0.089946076,0.10399913,0.107822396,0.10658219,0.08622901,0.10133037,0.11206394,0.09458961
63,0.1006454,0.098070055,0.093116604,0.107105695,0.10202573,0.10422651,0.08536038,0.10249768,0.11214314,0.09480878
