sample,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
23,0.09827305,0.09742482,0.09510868,0.10544394,0.105847366,0.10372824,0.08904757,0.09947679,0.11523682,0.09041277
24,0.099973574,0.09612799,0.09514262,0.10632904,0.10875587,0.10699576,0.08812099,0.100499734,0.11176075,0.086293705
25,0.102382205,0.095649675,0.09318591,0.1074696,0.10345157,0.105771035,0.08871118,0.09599319,0.11774762,0.08963796
26,0.096971154,0.099145725,0.094748996,0.10530214,0.11082846,0.10173418,0.086418234,0.10189885,0.11140941,0.09154285
27,0.099967696,0.09654485,0.094537556,0.106459066,0.108591124,0.099801175,0.08882717,0.101650715,0.11314155,0.09047908
28,0.10067457,0.09741812,0.09521423,0.106552385,0.10876674,0.10716625,0.08754004,0.09631313,0.11203006,0.08832453
29,0.09554556,0.09955949,0.09769154,0.105666265,0.10374044,0.106963456,0.08838473,0.09870515,0.11238147,0.09136185
30,0.09957508,0.09647605,0.093553476,0.10945101,0.10326483,0.10491973,0.086515434,0.10137162,0.11468729,0.09018555
31,0.09863923,0.09636663,0.09273545,0.10542072,0.10726958,0.098969735,0.093000054,0.09783236,0.11453449,0.09523173
32,0.0965787,0.09850133,0.095386095,0.107349046,0.10814647,0.104300275,0.08730043,0.09738971,0.112960055,0.092087954
33,0.09642268,0.096343234,0.09243815,0.104434624,0.10802663,0.10697453,0.09003935,0.104022846,0.11328153,0.08801636
34,0.0989744,0.09694025,0.09320885,0.10707997,0.110148154,0.10619563,0.09014738,0.098977625,0.11082757,0.087500185
35,0.098893315,0.09734689,0.092462175,0.1034118,0.11340677,0.10123051,0.088574864,0.098187685,0.11501844,0.091467634
36,0.098668166,0.09921363,0.094638154,0.1043109,0.10993986,0.1039952,0.09093296,0.09823601,0.10844034,0.09162473
37,0.10105971,0.09528463,0.09442131,0.108359136,0.105746895,0.10144107,0.09007682,0.09106605,0.11716678,0.095377564
38,0.0943698,0.09972839,0.095056154,0.105533905,0.107310615,0.106376305,0.08655779,0.10502424,0.112238556,0.08780428
39,0.09860428,0.09608242,0.094525665,0.10642261,0.106728524,0.10598036,0.08932447,0.1005493,0.11264157,0.089140765
40,0.09851901,0.09847913,0.095492676,0.10661977,0.10787475,0.10824719,0.09096081,0.09693105,0.10761868,0.08925684
41,0.09810048,0.098312266,0.09481233,0.10813348,0.10441289,0.10431913,0.08659356,0.09973229,0.11747758,0.08810603
42,0.09386661,0.09847452,0.09326178,0.107781805,0.10895689,0.10509785,0.09435219,0.09806433,0.11063573,0.08950829
43,0.09773574,0.09469724,0.096030444,0.110654816,0.10838211,0.10821349,0.08922136,0.094842404,0.11214825,0.08807421
44,0.09991742,0.09819649,0.094202094,0.10802089,0.110151224,0.10356949,0.0861036,0.10059542,0.10890688,0.090336554
45,0.103289105,0.09896047,0.09518449,0.10305067,0.11085763,0.103294685,0.08417651,0.10259869,0.11122633,0.08736139
46,0.10049925,0.10085175,0.09204177,0.1044278,0.10747488,0.100897245,0.09193492,0.09875276,0.1129242,0.09019545
47,0.09677482,0.099511005,0.09172381,0.10823424,0.109817326,0.105989724,0.09149037,0.09917733,0.108248405,0.08903292
48,0.095533885,0.09853007,0.09271198,0.109341934,0.10575235,0.103211045,0.08974441,0.10108658,0.11545467,0.08863308
49,0.09645074,0.101229295,0.09644466,0.10975648,0.106874175,0.10307963,0.085402526,0.09543806,0.11247551,0.092848875
50,0.09585836,0.100845195,0.08941924,0.10815675,0.10929506,0.102564126,0.090315394,0.101406634,0.11184751,0.090291746
51,0.098752014,0.09712024,0.09570854,0.1055999,0.10751801,0.10672574,0.0878047,0.10346474,0.10863589,0.0886703
52,0.09499139,0.09732804,0.09532956,0.10454098,0.10780947,0.1091963,0.09045981,0.10076969,0.110351376,0.08922341
53,0.095420554,0.10114494,0.09619503,0.10633406,0.104566775,0.10322708,0.087414384,0.09807089,0.11456927,0.093057044
54,0.09266129,0.10323845,0.09242522,0.105813324,0.109533414,0.10375318,0.08686322,0.10321727,0.11180541,0.09068932
55,0.100163355,0.09986913,0.09437663,0.105754204,0.10511796,0.10762763,0.087306224,0.10151593,0.1129034,0.08536552
56,0.09359934,0.10054915,0.09575923,0.10965797,0.10073842,0.10983643,0.09324548,0.09835752,0.11087749,0.08737888
57,0.09549589,0.09705182,0.097969055,0.10414003,0.10630414,0.105205655,0.0902007,0.10130782,0.11201184,0.090313
58,0.100786954,0.096812144,0.09493886,0.10604192,0.11109181,0.10448274,0.08832642,0.099127285,0.11030319,0.088088624
59,0.09844113,0.09859417,0.09501335,0.10638706,0.1056575,0.10730593,0.08846151,0.099181354,0.11480089,0.0861571
60,0.10086691,0.09807673,0.09501883,0.10642865,0.107090384,0.10483269,0.08852459,0.10214062,0.10932267,0.08769796
61,0.09897306,0.09562281,0.09878634,0.10518258,0.10664053,0.10376031,0.08808546,0.101364754,0.11375959,0.08782456
62,0.09841373,0.09805598,0.09464825,0.11005808,0.104733475,0.106984824,0.08606019,0.10407924,0.110829294,0.0861369
63,0.09916985,0.0980148,0.09767178,0.10757904,0.105262384,0.10786997,0.08708012,0.09981423,0.11146795,0.086069904
