sample,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
27,0.095695466,0.11045271,0.117708586,0.100317664,0.09558048,0.103569545,0.09555824,0.087956935,0.10283009,0.09033024
28,0.09476691,0.108477004,0.11400021,0.10005941,0.09370691,0.10321323,0.096361555,0.089892015,0.11006923,0.08945356
29,0.09415863,0.113530315,0.1135022,0.10006855,0.09149878,0.10195435,0.09668104,0.09279187,0.10625461,0.08955961
30,0.09431534,0.11001262,0.118100226,0.10046663,0.08934352,0.10441757,0.09641223,0.091531165,0.10542075,0.0899799
31,0.09505639,0.110861436,0.10832769,0.10006035,0.09488084,0.10485825,0.09299616,0.09221138,0.10718876,0.09355869
32,0.09573187,0.10919253,0.11799341,0.1016521,0.09245327,0.1059215,0.09518087,0.08733417,0.10730917,0.08723118
33,0.09773556,0.11228384,0.11347837,0.09790381,0.094319485,0.105528645,0.09118215,0.08888605,0.109534465,0.08914759
34,0.09163533,0.111716576,0.11319206,0.096390165,0.09740668,0.10696445,0.098884165,0.0889939,0.107908264,0.08690846
35,0.09379753,0.114628285,0.1081588,0.101035796,0.09289877,0.10684837,0.09936243,0.0903558,0.10295556,0.08995859
36,0.095287845,0.110656634,0.11953749,0.09916253,0.0919768,0.0995026,0.09651969,0.091294564,0.10584002,0.09022177
37,0.0957706,0.111049026,0.11468493,0.10094617,0.09550446,0.10258633,0.09585627,0.087956846,0.10782935,0.08781598
38,0.09358891,0.113525525,0.108129844,0.09912352,0.09482995,0.101700686,0.10158618,0.091063015,0.10747932,0.08897314
39,0.098781675,0.112930275,0.11502044,0.09904932,0.09209441,0.10111823,0.09637671,0.09013495,0.10739045,0.087103605
40,0.10018732,0.10641682,0.11439924,0.10391924,0.09273546,0.1029551,0.09563357,0.09024808,0.10456058,0.0889446
41,0.09810017,0.1123907,0.11139318,0.09998921,0.09449837,0.10804526,0.0938702,0.08759673,0.10413289,0.08998329
42,0.099245876,0.11062056,0.110587396,0.0979218,0.094273776,0.10373202,0.09364023,0.08883915,0.10892079,0.0922184
43,0.09323076,0.11123046,0.114591934,0.10355385,0.09426376,0.104944795,0.094771236,0.091377035,0.10342289,0.08861334
44,0.1002019,0.1052851,0.11285656,0.100407496,0.09339435,0.10234632,0.09651854,0.09304006,0.107962325,0.087987326
45,0.09543631,0.11128108,0.118350156,0.101576574,0.093121536,0.10225043,0.095466636,0.08834225,0.105727635,0.08844731
46,0.094343565,0.11092912,0.10792937,0.10742259,0.09098588,0.10217005,0.09867642,0.0937983,0.10535435,0.08839032
47,0.0962833,0.112019174,0.11116063,0.09914973,0.090940595,0.104595706,0.098206,0.09111205,0.10733997,0.08919284
48,0.09594946,0.10795148,0.11443499,0.10088046,0.092616275,0.10163665,0.09675472,0.095069334,0.10767971,0.087026864
49,0.09688234,0.10812247,0.11176991,0.10482942,0.09229985,0.103462964,0.094268076,0.08943554,0.10802099,0.09090836
50,0.09651163,0.11074298,0.114310585,0.10532459,0.09137062,0.09853063,0.09337897,0.08968718,0.109721854,0.090420894
51,0.09607984,0.1115189,0.11172477,0.1004879,0.09380274,0.10295645,0.096409224,0.0901813,0.10887872,0.08796019
52,0.09998944,0.10723194,0.11480698,0.10740326,0.09367882,0.09713771,0.096420825,0.088741824,0.105952956,0.08863625
53,0.09443484,0.10810543,0.11324886,0.10113766,0.096255854,0.100590594,0.09761096,0.089883216,0.11019462,0.08853791
54,0.09522884,0.11251938,0.11245012,0.097669594,0.08990156,0.10387174,0.09516169,0.093989596,0.1078923,0.09131515
55,0.09773279,0.113784075,0.11601839,0.09888889,0.09530979,0.10574451,0.09399896,0.08722334,0.10262334,0.08867593
56,0.0975351,0.1099515,0.11240981,0.09758511,0.09412894,0.099005766,0.09925854,0.091951065,0.108746104,0.08942807
57,0.10025505,0.10948345,0.10809717,0.10277948,0.0940224,0.1021215,0.09701039,0.08939202,0.10731452,0.08952401
58,0.093712255,0.111600004,0.11137683,0.09992253,0.092079364,0.10342169,0.096076466,0.09182434,0.10942379,0.09056266
59,0.09711822,0.112021975,0.111879125,0.10188742,0.093878,0.10256766,0.09590845,0.08653721,0.10598966,0.09221233
60,0.09890343,0.10753065,0.111255385,0.102162875,0.09151048,0.0989253,0.1001116,0.09150935,0.10644718,0.09164364
61,0.09650281,0.10833543,0.11060455,0.10032696,0.09795891,0.10166931,0.09600598,0.09033021,0.10688089,0.09138487
62,0.09028429,0.114847444,0.11372444,0.10127957,0.09407965,0.10714603,0.09507055,0.091864124,0.10501628,0.08668762
63,0.09854078,0.113245025,0.111818895,0.1017709,0.09169094,0.103478305,0.09351468,0.08661074,0.10947483,0.089854896
