sample,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
19,0.098973766,0.10447537,0.09002472,0.09949896,0.10409674,0.097520486,0.09164193,0.10322112,0.10059461,0.10995226
20,0.09653509,0.105979,0.0933524,0.101795875,0.10377426,0.09238189,0.092035525,0.103326485,0.10263333,0.10818613
21,0.09762224,0.0998214,0.09042632,0.097469956,0.109240234,0.099328265,0.08970589,0.1084663,0.09996042,0.10795894
22,0.09584948,0.10197596,0.09680138,0.099720724,0.106509134,0.09507785,0.09172822,0.10174983,0.10261921,0.10796825
23,0.094575986,0.10215952,0.09407153,0.09769789,0.10578754,0.097405836,0.09063319,0.1083966,0.09883427,0.11043762
24,0.09368709,0.102738835,0.093035534,0.0963976,0.10731234,0.096380055,0.09269282,0.10843784,0.099857956,0.10945995
25,0.096172966,0.103952624,0.092014454,0.09862616,0.10738363,0.09866555,0.09056107,0.106469855,0.10146606,0.10468771
26,0.1001569,0.102399364,0.0894042,0.1001403,0.10655738,0.09664874,0.093504414,0.107638575,0.097231686,0.1063184
27,0.09744979,0.098345466,0.09215095,0.10256458,0.10266464,0.097594224,0.092557736,0.10534102,0.10283691,0.108494624
28,0.094337344,0.10418022,0.09224996,0.09969216,0.10566535,0.09587637,0.08820259,0.106178366,0.10178794,0.111829616
29,0.09159072,0.096895754,0.09152203,0.102133974,0.10638688,0.09668275,0.09353925,0.110629894,0.100876346,0.10974248
30,0.098416254,0.104869016,0.09141601,0.100391395,0.10416918,0.09493045,0.091242634,0.10409364,0.10230463,0.10816686
31,0.09807622,0.10211635,0.09082313,0.09832266,0.10560895,0.097164914,0.09143665,0.10426601,0.10070269,0.111482434
32,0.09784075,0.09914022,0.08793101,0.10262179,0.10377752,0.09965562,0.09061249,0.10847152,0.09913976,0.110809326
33,0.09236644,0.10574058,0.09049451,0.09754661,0.11011495,0.099032536,0.091224045,0.10597618,0.09990846,0.107595645
34,0.097551905,0.10368489,0.09575214,0.10040513,0.10516823,0.09251269,0.08958586,0.10221559,0.10117522,0.11194844
35,0.09857194,0.09892228,0.093104444,0.09685273,0.10810523,0.09955594,0.087389864,0.10952657,0.10027712,0.10769384
36,0.098826,0.09859476,0.08883634,0.10187417,0.10693666,0.09507481,0.09058351,0.10734286,0.10248939,0.10944147
37,0.093327284,0.10330407,0.09044169,0.096091814,0.10788043,0.09977681,0.09112013,0.10881462,0.10132071,0.10792249
38,0.09521453,0.1010783,0.09500925,0.105709195,0.104890235,0.09404733,0.08905869,0.109045796,0.098815344,0.10713132
39,0.09740702,0.102617174,0.09577189,0.101389505,0.1047337,0.09428954,0.08780054,0.1065068,0.100228556,0.109255336
40,0.09265773,0.104886174,0.091156155,0.096976794,0.10716654,0.09933962,0.089200914,0.108861454,0.09890477,0.11084984
41,0.09409715,0.10080817,0.09054458,0.1023697,0.107543826,0.09910552,0.09203738,0.108336344,0.09907792,0.10607931
42,0.09170461,0.1026309,0.09610745,0.10275798,0.10775082,0.09498257,0.09155889,0.10504681,0.10096693,0.10649309
43,0.09610889,0.10037598,0.09183358,0.0953256,0.10947416,0.09791247,0.08702496,0.11017063,0.10039805,0.11137576
44,0.09775758,0.10460813,0.091447726,0.09794575,0.1048157,0.09513787,0.090628505,0.102678716,0.102713324,0.11226668
45,0.09532188,0.09984756,0.09236188,0.104045585,0.103577614,0.097743325,0.09001815,0.10472044,0.10151237,0.11085126
46,0.1010805,0.10218945,0.089141846,0.10448913,0.10340234,0.095768504,0.091942824,0.106121145,0.09738669,0.10847759
47,0.09797427,0.1014943,0.09366802,0.100882515,0.10124846,0.096123196,0.09132849,0.105514824,0.09995143,0.11181445
48,0.09764508,0.10128783,0.09127418,0.099581026,0.106618814,0.10048128,0.09160943,0.10706697,0.10025038,0.104185045
49,0.0940529,0.09970759,0.09409924,0.100122936,0.10649623,0.0973854,0.08943061,0.10540909,0.10292126,0.110374756
50,0.09966278,0.10400291,0.09311324,0.09779085,0.10372003,0.09258602,0.09312394,0.1007252,0.10188848,0.113386534
51,0.096189015,0.098500185,0.090444766,0.10126221,0.10608612,0.09615841,0.09341559,0.108674936,0.10110837,0.10816041
52,0.0961339,0.1033189,0.09622387,0.09979122,0.10431323,0.092652164,0.08967276,0.10392735,0.10119966,0.11276701
53,0.09451502,0.09990153,0.09114178,0.097702086,0.10713001,0.096906915,0.089613065,0.105279766,0.102727026,0.1150828
54,0.099846624,0.10236576,0.08890267,0.0978937,0.10468021,0.09720975,0.093407586,0.10341839,0.09979385,0.112481505
55,0.09622826,0.10602605,0.09257795,0.096950375,0.10224055,0.09797838,0.08999477,0.10252145,0.102564506,0.112917714
56,0.09401296,0.10064064,0.09502427,0.096987836,0.10867826,0.095654845,0.09083464,0.10900016,0.10006919,0.10909717
57,0.09576587,0.10256798,0.094791554,0.09998151,0.10456055,0.09504272,0.088772684,0.10692801,0.09989065,0.11169853
58,0.097124904,0.10252277,0.092662595,0.0969051,0.10763656,0.097518936,0.09025246,0.11036613,0.097333245,0.10767737
59,0.09204142,0.10706872,0.09462492,0.096501194,0.10682739,0.09807424,0.09108224,0.10805441,0.097040124,0.10868529
60,0.09338875,0.10716405,0.09386313,0.09346876,0.10902553,0.0965026,0.08927245,0.10403946,0.10223752,0.11103776
61,0.0960017,0.103059046,0.09559424,0.096940555,0.109846935,0.098124415,0.088388816,0.1045104,0.100108646,0.1074253
62,0.09729399,0.10089258,0.08941558,0.09713111,0.10636726,0.09931214,0.08960437,0.10468374,0.10161828,0.113680944
63,0.09180972,0.10182828,0.0902404,0.10096627,0.10787661,0.09998489,0.092875026,0.10874543,0.097192965,0.10848043
